Full_Name,Hire_Date,Termination_Date,Service_Days,Service_Years
"Orsola Ghio",2005-02-28,2024-04-18,6989,19.1479
"Ginevra Stump",2004-08-20,2023-10-06,6986,19.1397
"Bucky Jefferies",2001-12-14,2021-01-18,6975,19.1096
"Karoly Gurry",2003-03-09,2022-03-25,6956,19.0575
"Pablo Maynell",2004-05-18,2023-05-23,6944,19.0247
"Birdie Gatesman",2001-04-21,2020-04-24,6943,19.0219
"Gretta Bariball",2005-07-05,2024-06-26,6931,18.9890
"Concordia Gleadhell",2005-02-24,2024-02-13,6928,18.9808
"Hayes Van Weedenburg",2005-05-02,2024-04-18,6926,18.9753
"Steward Matheson",2002-11-23,2021-10-27,6913,18.9397
"Meridith Twinterman",2002-12-04,2021-11-05,6911,18.9342
"Adeline Bartosinski",2003-02-22,2022-01-16,6903,18.9123
"Isac Mougin",2003-07-18,2022-06-07,6899,18.9014
"Charmion McCraw",2002-08-11,2021-06-18,6886,18.8658
"Ethelind Errington",2002-06-29,2021-05-01,6881,18.8521
"Dru Bedward",2001-05-15,2020-03-16,6880,18.8493
"Carolyn Haylands",2005-07-04,2024-04-24,6869,18.8192
"Cosetta Jedrachowicz",2003-06-13,2022-03-20,6855,18.7808
"Valene Spiteri",2003-03-19,2021-12-10,6841,18.7425
"Dimitry Turland",2004-09-11,2023-06-04,6840,18.7397
"Diannne Tongue",2001-09-20,2020-06-07,6835,18.7260
"Neila Dodding",2005-07-24,2024-04-10,6835,18.7260
"Shirleen Sharman",2003-04-20,2021-12-28,6827,18.7041
"Aurelia Gold",2005-07-18,2024-03-03,6803,18.6384
"Marianna Stigers",2002-08-20,2021-04-05,6803,18.6384
"Ingra Lavelle",2005-11-09,2024-06-18,6796,18.6192
"Yuri Mathiot",2002-12-20,2021-07-27,6794,18.6137
"Sawyere Seymark",2004-05-15,2022-11-26,6769,18.5452
"Carce Beacroft",2002-02-22,2020-09-03,6768,18.5425
"Bobbette Smowton",2005-04-10,2023-10-06,6753,18.5014
"Nate O'Callaghan",2002-10-05,2021-03-26,6747,18.4849
"Rozelle Abramov",2003-05-22,2021-11-09,6746,18.4822
"Tildi Braisher",2005-09-08,2024-02-21,6740,18.4658
"Nalani Martineau",2002-09-14,2021-02-19,6733,18.4466
"Jonas Kynson",2005-12-14,2024-05-11,6723,18.4192
"Marya Gabbotts",2001-03-02,2019-07-24,6718,18.4055
"Rodina Hatchman",2004-03-30,2022-08-09,6706,18.3726
"Drucy Hindrich",2003-03-23,2021-07-26,6700,18.3562
"Nona Hullot",2002-08-12,2020-12-09,6694,18.3397
"Joye Burgon",2002-12-19,2021-04-17,6694,18.3397
"Micky Langstaff",2004-06-10,2022-10-03,6689,18.3260
"Federica Towler",2001-07-28,2019-11-19,6688,18.3233
"Crichton Tremblet",2004-03-05,2022-06-27,6688,18.3233
"Hube Fendley",2003-10-31,2022-02-16,6683,18.3096
"Carleton Wilkes",2004-03-12,2022-06-28,6682,18.3068
"Madalyn Beteriss",2004-10-19,2023-02-04,6682,18.3068
"Leontine Filippi",2001-11-03,2020-01-29,6661,18.2493
"Myca Bolesworth",2004-10-06,2022-12-20,6649,18.2164
"Henderson Djekic",2004-03-03,2022-05-12,6644,18.2027
"Irene Scimoni",2003-10-18,2021-12-15,6633,18.1726
"Tallie Osband",2002-03-01,2020-04-28,6633,18.1726
"Emory Frissell",2002-12-07,2021-02-03,6633,18.1726
"Elyn Gallamore",2003-05-27,2021-07-23,6632,18.1699
"Devland Quoit",2003-07-12,2021-08-30,6624,18.1479
"Dalila Pietruszewicz",2001-07-15,2019-09-02,6623,18.1452
"Gerek Claibourn",2005-03-22,2023-05-05,6618,18.1315
"Sibella Loveman",2002-01-10,2020-02-18,6613,18.1178
"Fredericka Bust",2003-03-25,2021-05-02,6613,18.1178
"Kippy Evenett",2004-04-09,2022-05-16,6611,18.1123
"Vladamir Bachelar",2005-09-21,2023-10-23,6606,18.0986
"Tiffany Give",2001-06-26,2019-07-21,6599,18.0795
"Leroy Heed",2004-04-13,2022-05-03,6594,18.0658
"Heindrick Baxstar",2003-07-25,2021-08-08,6589,18.0521
"Jacquetta Densie",2002-02-17,2020-02-24,6581,18.0301
"Lemuel Falkous",2005-02-25,2023-03-01,6578,18.0219
"Alexandros Crus",2002-05-23,2020-05-20,6572,18.0055
"Javier De la Yglesia",2002-11-14,2020-10-28,6558,17.9671
"Gardener Tue",2001-11-15,2019-10-05,6533,17.8986
"Hillie Overstone",2003-11-19,2021-10-04,6529,17.8877
"Nanni Dinis",2001-01-28,2018-12-11,6526,17.8795
"Chiarra Mehaffey",2002-10-18,2020-07-27,6492,17.7863
"Lorianna Mitten",2001-02-10,2018-11-16,6488,17.7753
"Jemmie Aizikowitz",2004-12-16,2022-09-18,6485,17.7671
"Maritsa Behnke",2001-07-31,2019-04-24,6476,17.7425
"Jackson Simmance",2003-02-10,2020-10-27,6469,17.7233
"Sissie Hasted",2001-09-18,2019-06-02,6466,17.7151
"Clem Tibald",2004-01-07,2021-09-19,6465,17.7123
"Carlynn Tytherton",2006-11-04,2024-06-30,6448,17.6658
"Rowe Bellay",2001-10-05,2019-05-18,6434,17.6274
"Ursuline Pulver",2006-03-17,2023-10-24,6430,17.6164
"Simona Mallison",2002-02-02,2019-09-04,6423,17.5973
"Iseabal Haxell",2005-06-17,2023-01-09,6415,17.5753
"Oliy Biddell",2002-03-25,2019-09-14,6382,17.4849
"Fanny Pachta",2005-06-02,2022-11-13,6373,17.4603
"Yule Ghost",2004-07-05,2021-12-16,6373,17.4603
"Fleming Matejka",2006-11-10,2024-04-20,6371,17.4548
"Peggie Gencke",2000-11-05,2018-03-30,6354,17.4082
"Shir Soonhouse",2004-03-22,2021-08-13,6353,17.4055
"Hyacinthe Pilipets",2001-08-24,2019-01-03,6341,17.3726
"Aindrea Harder",2001-09-07,2019-01-07,6331,17.3452
"Sibylle Cromie",2004-05-04,2021-08-26,6323,17.3233
"Howie Biever",2006-07-10,2023-10-22,6313,17.2959
"Byrom Kayser",2005-08-21,2022-11-29,6309,17.2849
"Morris Battrum",2006-10-04,2023-12-31,6297,17.2521
"Levin Rosenfeld",2003-12-07,2021-02-25,6290,17.2329
"Adora Jopson",2002-07-21,2019-09-14,6264,17.1616
"Denis Brahms",2003-08-19,2020-10-11,6263,17.1589
"Arabelle Pesik",2006-01-24,2023-03-12,6256,17.1397
"Mayne Banbrick",2005-10-19,2022-12-01,6252,17.1288
"Bogey Padbury",2001-10-10,2018-11-21,6251,17.1260
"Irene Popland",2002-10-04,2019-11-14,6250,17.1233
"Barbra Brotherton",2005-04-27,2022-06-04,6247,17.1151
"Darrelle Solomon",2006-08-26,2023-10-02,6246,17.1123
"Hakim Dolan",2000-12-25,2018-01-22,6237,17.0877
"Pate Silversmidt",2004-06-05,2021-06-29,6233,17.0767
"Onofredo Dixon",2006-06-08,2023-07-02,6233,17.0767
"Lilllie Totton",2004-01-24,2021-02-12,6229,17.0658
"Leah Haggar",2005-04-29,2022-05-14,6224,17.0521
"Sandi Bastick",2002-12-24,2019-12-22,6207,17.0055
"Darb McHan",2006-12-06,2023-11-20,6193,16.9671
"Samaria Begg",2001-11-12,2018-10-19,6185,16.9452
"Holli Oddy",2006-08-23,2023-07-21,6176,16.9205
"Alameda Deesly",2006-10-13,2023-08-11,6146,16.8384
"Roxine Caulton",2001-01-08,2017-11-06,6146,16.8384
"Darrell Jefferys",2003-12-31,2020-10-26,6144,16.8329
"Justus MacCulloch",2001-06-11,2018-04-06,6143,16.8301
"Nilson Fanthome",2005-01-05,2021-10-24,6136,16.8110
"Shay Beagles",2005-11-14,2022-08-24,6127,16.7863
"Harriet Gaze",2007-07-18,2024-04-25,6126,16.7836
"Ignacius Mee",2000-10-29,2017-08-03,6122,16.7726
"Franni Altree",2006-02-02,2022-10-28,6112,16.7452
"Vanni Fierro",2006-03-19,2022-12-11,6111,16.7425
"Say Domleo",2003-10-04,2020-06-25,6109,16.7370
"Mordy Waldie",2007-05-14,2024-01-31,6106,16.7288
"Edyth Bowler",2002-06-16,2019-03-02,6103,16.7205
"Shellysheldon MacAirt",2004-03-19,2020-11-27,6097,16.7041
"Karalynn Doust",2003-01-08,2019-09-10,6089,16.6822
"Trudey McCanny",2004-08-31,2021-04-30,6086,16.6740
"Jabez Broadis",2004-03-03,2020-10-25,6080,16.6575
"Audi Timmermann",2007-03-11,2023-10-30,6077,16.6493
"Marco Kerwood",2002-04-23,2018-12-11,6076,16.6466
"Crosby Lanegran",2002-03-21,2018-10-26,6063,16.6110
"Fionna Schwand",2006-07-21,2023-02-15,6053,16.5836
"Mozelle Bruhnke",2002-01-05,2018-07-27,6047,16.5671
"Robbie Mintoft",2004-07-30,2021-02-16,6045,16.5616
"Jimmy Duffin",2006-10-14,2023-04-21,6033,16.5288
"Iseabal Birtle",2003-09-15,2020-03-19,6030,16.5205
"Ilyse Style",2006-08-06,2023-02-07,6029,16.5178
"Ainslie Tidbury",2003-06-25,2019-12-22,6024,16.5041
"Dannie Thornton-Dewhirst",2002-12-12,2019-05-30,6013,16.4740
"Moira Meineck",2003-07-02,2019-12-14,6009,16.4630
"Terra Febry",2006-10-20,2023-03-27,6002,16.4438
"Ferdinande Coppens",2005-10-04,2022-03-07,5998,16.4329
"Fredi Casely",2004-12-04,2021-05-07,5998,16.4329
"Tersina Plampin",2003-03-02,2019-07-26,5990,16.4110
"Averell Blacklidge",2006-05-14,2022-10-06,5989,16.4082
"Prudi Scarce",2005-06-10,2021-10-24,5980,16.3836
"Augusta Cowley",2005-09-29,2022-02-10,5978,16.3781
"Lisa Birtwisle",2007-03-08,2023-07-17,5975,16.3699
"Sherilyn Peyzer",2001-06-09,2017-10-17,5974,16.3671
"Gunther Pozzo",2008-02-21,2024-06-29,5973,16.3644
"Suzette Cheyne",2005-04-05,2021-08-08,5969,16.3534
"Lucita Allsupp",2003-10-11,2020-02-09,5965,16.3425
"Rhiamon Macvey",2002-12-30,2019-04-27,5962,16.3342
"Mattie Bengtsen",2005-03-06,2021-06-19,5949,16.2986
"George Skaife",2001-02-23,2017-06-08,5949,16.2986
"Marinna Sunderland",2004-05-19,2020-08-28,5945,16.2877
"Eleonore Ghidoli",2005-02-16,2021-05-26,5943,16.2822
"Dana Mumbeson",2001-04-08,2017-07-08,5935,16.2603
"Ana Palfrey",2002-04-15,2018-07-05,5925,16.2329
"Renado Stenton",2007-10-11,2023-12-29,5923,16.2274
"Curcio Gwyllt",2004-10-19,2021-01-02,5919,16.2164
"Darcee Mehew",2002-02-01,2018-04-08,5910,16.1918
"Tirrell Champagne",2007-05-25,2023-07-28,5908,16.1863
"Sandor Brewers",2003-12-21,2020-02-16,5901,16.1671
"Sallyann Cardenas",2006-08-31,2022-10-24,5898,16.1589
"Borg Anwell",2004-10-12,2020-12-02,5895,16.1507
"Fredric Kleinsmuntz",2007-04-27,2023-06-17,5895,16.1507
"Netti Geekie",2007-11-24,2024-01-12,5893,16.1452
"Baillie Staggs",2006-05-10,2022-06-13,5878,16.1041
"Persis Oke",2002-09-25,2018-10-21,5870,16.0822
"Meggi Fernihough",2001-09-22,2017-10-15,5867,16.0740
"Oralee Kynd",2003-10-18,2019-11-07,5864,16.0658
"Joshia Hosten",2005-11-11,2021-11-24,5857,16.0466
"Bary Gorey",2003-12-24,2020-01-03,5854,16.0384
"Giustino O'Harney",2004-04-13,2020-04-23,5854,16.0384
"Danila Yeomans",2001-05-27,2017-06-02,5850,16.0274
"Arri Morman",2001-12-17,2017-12-21,5848,16.0219
"Paco Youson",2004-08-07,2020-08-05,5842,16.0055
"Kristel Hooban",2002-09-26,2018-09-22,5840,16.0000
"Carly Ruzic",2004-04-27,2020-04-12,5829,15.9699
"Merv Weiss",2003-08-29,2019-08-08,5823,15.9534
"Isabel Ayer",2001-08-16,2017-07-19,5816,15.9342
"Casi Calvie",2004-11-26,2020-10-27,5814,15.9288
"Dodi Pengelley",2007-08-25,2023-07-21,5809,15.9151
"Jackqueline Mc Gorley",2003-04-10,2019-02-28,5803,15.8986
"Shelby Stothart",2007-08-29,2023-07-16,5800,15.8904
"Brietta Medlicott",2001-08-06,2017-06-04,5781,15.8384
"Bibbie Matteoli",2008-05-05,2024-03-02,5780,15.8356
"Virgina Featonby",2005-06-25,2021-04-16,5774,15.8192
"Alidia Kitchingman",2007-11-25,2023-09-15,5773,15.8164
"Karlis Fenwick",2001-05-10,2017-02-21,5766,15.7973
"Katina Augie",2003-06-22,2019-04-01,5762,15.7863
"Elijah Aymer",2007-07-27,2023-05-06,5762,15.7863
"Jazmin Fenemore",2002-03-08,2017-11-23,5739,15.7233
"Frank Harland",2004-09-11,2020-05-23,5733,15.7068
"Georgiana Lyddiatt",2008-01-10,2023-09-14,5726,15.6877
"Freddie Arndt",2007-01-02,2022-09-01,5721,15.6740
"Roddy Minchin",2002-05-11,2018-01-07,5720,15.6712
"Al Iacovielli",2006-05-05,2021-12-26,5714,15.6548
"Maye Maffei",2006-06-03,2022-01-06,5696,15.6055
"Mallory Confait",2008-01-20,2023-08-23,5694,15.6000
"Nerti Wadie",2004-07-12,2020-02-02,5683,15.5699
"Nat Pouck",2000-11-23,2016-06-12,5680,15.5616
"Risa Serchwell",2001-08-12,2017-02-28,5679,15.5589
"Kerwin Lode",2004-04-07,2019-10-20,5674,15.5452
"Lynette Attlee",2007-04-16,2022-10-27,5673,15.5425
"Wallas Gater",2007-05-18,2022-11-27,5672,15.5397
"Hope Goodspeed",2004-03-23,2019-09-30,5669,15.5315
"Garrik Galley",2004-04-07,2019-10-10,5664,15.5178
"Avis Piwell",2007-02-09,2022-08-11,5662,15.5123
"Arleta Twatt",2003-09-15,2019-03-13,5658,15.5014
"Jermain Ashlin",2003-05-31,2018-11-26,5658,15.5014
"Allie Thomke",2007-05-13,2022-11-07,5657,15.4986
"Corrina Tolossi",2007-08-25,2023-02-17,5655,15.4932
"Feodora Ortet",2007-08-10,2023-02-02,5655,15.4932
"Lane Duran",2008-05-08,2023-10-31,5654,15.4904
"Chelsy Clacey",2006-01-30,2021-07-23,5653,15.4877
"Salem Skirvane",2004-08-30,2020-02-20,5652,15.4849
"Bobina Jaquest",2004-02-17,2019-08-03,5646,15.4685
"Billye Krimmer",2003-11-06,2019-04-12,5636,15.4411
"Geno Glyde",2001-03-26,2016-08-20,5626,15.4137
"Maridel Franck",2003-12-01,2019-04-27,5626,15.4137
"Janaya Duplain",2007-07-30,2022-12-24,5626,15.4137
"Shepperd Fagg",2005-10-02,2021-02-11,5611,15.3726
"Randal Oxnam",2004-03-07,2019-07-18,5611,15.3726
"Carey Coll",2005-05-31,2020-09-13,5584,15.2986
"Helge Yo",2002-01-21,2017-05-05,5583,15.2959
"Manda Runsey",2007-01-20,2022-05-01,5580,15.2877
"Cacilia Leinthall",2004-10-13,2020-01-20,5577,15.2795
"Lani Kinnoch",2006-10-16,2022-01-21,5576,15.2767
"Brennen Liley",2001-11-14,2017-02-18,5575,15.2740
"Levon Malloch",2006-09-27,2021-12-26,5569,15.2575
"Elmore Egell",2001-09-07,2016-11-17,5550,15.2055
"Robinet Witchard",2005-04-07,2020-06-04,5537,15.1699
"Rosita Looker",2006-04-28,2021-06-22,5534,15.1616
"Phil Shoebottom",2004-06-14,2019-07-17,5511,15.0986
"Kit Clelland",2006-03-22,2021-04-20,5508,15.0904
"Jacquette Buckam",2002-09-11,2017-10-05,5503,15.0767
"Robbie Dorow",2000-11-12,2015-12-03,5499,15.0658
"Chickie Sive",2007-08-13,2022-08-29,5495,15.0548
"Randene Terram",2008-04-12,2023-04-26,5492,15.0466
"Jasen Tonkinson",2002-04-01,2017-04-11,5489,15.0384
"Madelene Dietz",2004-03-28,2019-04-04,5485,15.0274
"Sapphira Soppett",2006-09-19,2021-09-22,5482,15.0192
"Gerianne Wince",2003-10-20,2018-10-21,5480,15.0137
"Shepard Kingsley",2007-10-06,2022-10-03,5476,15.0027
"Susette Over",2004-04-24,2019-04-06,5460,14.9589
"Mary Howling",2006-09-20,2021-08-29,5457,14.9507
"Lockwood Shiel",2001-08-11,2016-07-15,5452,14.9370
"Sharona Ceyssen",2008-05-04,2023-04-05,5449,14.9288
"Karisa Gierek",2008-12-17,2023-11-03,5434,14.8877
"Hubert Baylay",2005-11-11,2020-09-23,5430,14.8767
"Patsy Russam",2004-04-18,2019-02-28,5429,14.8740
"Nickola Casserley",2003-07-25,2018-05-31,5424,14.8603
"Tammy McAvin",2008-04-28,2023-02-22,5413,14.8301
"Farr Tift",2009-01-13,2023-11-06,5410,14.8219
"Herve Gazzard",2007-01-15,2021-11-05,5408,14.8164
"Rudolf Reichardt",2007-05-07,2022-02-25,5408,14.8164
"Zaneta McKelvey",2008-08-01,2023-05-21,5406,14.8110
"Jerrilyn Gritton",2005-05-27,2020-03-15,5406,14.8110
"Viki Cattell",2007-01-05,2021-10-23,5405,14.8082
"Nicoli Klimpke",2006-05-08,2021-02-18,5400,14.7945
"Myrah Ipsly",2003-06-03,2018-03-16,5400,14.7945
"Camey D'Elias",2005-07-18,2020-04-24,5394,14.7781
"Levey Mallia",2007-01-29,2021-11-01,5390,14.7671
"Caria Mayfield",2004-11-10,2019-08-13,5389,14.7644
"Karin Gowry",2006-01-02,2020-10-03,5388,14.7616
"Farand Bewlie",2006-05-19,2021-02-10,5381,14.7425
"Leighton Kenwright",2006-07-19,2021-04-12,5381,14.7425
"Kristi Florez",2005-01-15,2019-10-08,5379,14.7370
"Mariquilla Rowler",2009-06-13,2024-03-01,5375,14.7260
"Staford Longridge",2007-09-09,2022-05-25,5372,14.7178
"Luelle McCrainor",2005-05-16,2020-01-28,5370,14.7123
"Ardeen Currington",2004-01-29,2018-10-11,5369,14.7096
"Alikee Gumly",2005-12-20,2020-08-27,5364,14.6959
"Torrie Spybey",2004-09-17,2019-05-25,5363,14.6932
"Merry Balaison",2006-12-26,2021-08-31,5362,14.6904
"Stacie Gentric",2003-11-15,2018-07-19,5360,14.6849
"Cairistiona Rowat",2008-03-31,2022-11-26,5353,14.6658
"Alden Matej",2006-08-05,2021-03-31,5352,14.6630
"Rosalia Roath",2007-12-21,2022-08-07,5343,14.6384
"Maisey Alfonzo",2009-04-22,2023-11-30,5335,14.6164
"D'arcy Morgan",2001-08-09,2016-03-13,5330,14.6027
"Elsinore Kaley",2002-06-14,2017-01-13,5327,14.5945
"Henderson Warlaw",2006-01-10,2020-08-05,5321,14.5781
"Beryle Gaylord",2002-01-10,2016-08-05,5321,14.5781
"Wells Bartolomeu",2009-04-27,2023-11-17,5317,14.5671
"Hetti Gotling",2004-12-21,2019-06-30,5304,14.5315
"Ivor Valek",2001-08-18,2016-02-17,5296,14.5096
"Eloisa Colafate",2006-09-17,2021-03-17,5295,14.5068
"Raeann Di Domenico",2009-11-26,2024-05-18,5287,14.4849
"Marsiella Farington",2007-11-21,2022-05-12,5286,14.4822
"Berti Segar",2006-12-14,2021-05-28,5279,14.4630
"Khalil Braferton",2009-07-17,2023-12-19,5268,14.4329
"Currey Dobrowolny",2009-12-31,2024-06-02,5267,14.4301
"Meade Sunners",2007-07-22,2021-12-19,5264,14.4219
"Tandie Leydon",2003-03-21,2017-08-16,5262,14.4164
"Anni Dyka",2005-05-06,2019-10-01,5261,14.4137
"Yoko Woosnam",2001-10-11,2016-03-07,5261,14.4137
"Pippo Jerrim",2002-06-19,2016-11-06,5254,14.3945
"Etheline Donnett",2007-08-20,2021-12-29,5245,14.3699
"Leicester Medlicott",2005-03-03,2019-07-12,5244,14.3671
"Claudette Normabell",2007-04-28,2021-08-30,5238,14.3507
"Riley Soppit",2002-08-04,2016-12-01,5233,14.3370
"Jerri Aingel",2008-04-28,2022-08-18,5225,14.3151
"Giraldo Braine",2006-11-03,2021-02-20,5223,14.3096
"Gates de Grey",2009-04-26,2023-08-07,5216,14.2904
"Ilyse Ivashov",2009-10-08,2024-01-17,5214,14.2849
"Whittaker Gecke",2009-07-07,2023-10-14,5212,14.2795
"Waylen Giblin",2009-07-07,2023-10-11,5209,14.2712
"Ase Vany",2005-02-18,2019-05-24,5208,14.2685
"Wilbur Bruster",2005-11-28,2020-02-28,5205,14.2603
"Meade Thebeaud",2008-03-04,2022-05-31,5201,14.2493
"Gelya Rolling",2007-02-11,2021-05-04,5196,14.2356
"Casper Tolley",2010-02-15,2024-05-03,5191,14.2219
"Sloan Sollowaye",2005-03-14,2019-05-29,5189,14.2164
"Link Loveridge",2003-07-17,2017-09-30,5189,14.2164
"Marquita Chalcot",2008-05-26,2022-08-07,5186,14.2082
"Cleve Tirrey",2006-12-19,2021-02-28,5185,14.2055
"Emma Pettipher",2004-04-30,2018-07-09,5183,14.2000
"Liam Leedal",2010-01-16,2024-03-23,5180,14.1918
"Micah Baylie",2005-02-11,2019-04-18,5179,14.1890
"Herby Ricciardo",2005-02-16,2019-04-18,5174,14.1753
"Jacquenetta MacDuffie",2004-01-08,2018-03-05,5170,14.1644
"Weston Mohamed",2007-01-29,2021-03-25,5169,14.1616
"Elsie Whiteway",2010-04-26,2024-06-19,5168,14.1589
"Otis Devoy",2007-03-28,2021-05-18,5165,14.1507
"Blancha Glaister",2006-03-28,2020-05-13,5160,14.1370
"Odille Devereu",2002-03-17,2016-05-01,5159,14.1342
"Mile Tomkys",2008-08-06,2022-09-19,5157,14.1288
"Harmony Kuschek",2005-09-21,2019-11-03,5156,14.1260
"Revkah Spoerl",2007-07-23,2021-09-01,5154,14.1205
"Adele Humphries",2001-10-21,2015-11-29,5152,14.1151
"Hermine Quinion",2009-01-25,2023-03-03,5150,14.1096
"Rey Hindsberg",2003-06-11,2017-06-27,5130,14.0548
"Geri Cullotey",2005-08-04,2019-08-19,5128,14.0493
"Sloan Muddiman",2003-09-09,2017-09-20,5125,14.0411
"Vyky Goodbarne",2001-03-09,2015-03-18,5122,14.0329
"Midge Stenning",2005-08-26,2019-08-25,5112,14.0055
"Teodoro Bech",2005-10-24,2019-10-22,5111,14.0027
"Rosalinda Rothera",2004-01-02,2017-12-27,5108,13.9945
"Kayne Stanfield",2006-10-21,2020-10-14,5107,13.9918
"Lauritz Ausello",2004-03-09,2018-02-28,5104,13.9836
"Farrell Mettetal",2009-09-02,2023-08-20,5100,13.9726
"Lissi Cone",2001-03-30,2015-03-09,5092,13.9507
"Ania Kelby",2002-07-31,2016-06-27,5080,13.9178
"Clerissa Freeth",2002-10-17,2016-09-10,5077,13.9096
"Niko Casetti",2007-11-06,2021-09-30,5077,13.9096
"Gusella Titterton",2004-04-20,2018-03-14,5076,13.9068
"Maryrose Heaney`",2006-06-29,2020-05-22,5076,13.9068
"Jocelin Faull",2002-01-31,2015-12-24,5075,13.9041
"Tad Pennock",2005-09-29,2019-08-21,5074,13.9014
"Dwayne Leavey",2008-10-30,2022-09-19,5072,13.8959
"Shoshanna Schruur",2009-06-14,2023-05-02,5070,13.8904
"Normand Weatherhogg",2008-08-07,2022-06-22,5067,13.8822
"Krissy MacGorrie",2010-03-17,2024-01-30,5067,13.8822
"Murielle Hambling",2001-05-09,2015-03-23,5066,13.8795
"Derick Duchenne",2010-04-11,2024-02-22,5065,13.8767
"Darelle Montilla",2007-05-31,2021-04-09,5062,13.8685
"Jami Hinken",2008-09-30,2022-08-07,5059,13.8603
"Thaddus Mara",2008-12-09,2022-10-16,5059,13.8603
"Georgi Greg",2009-11-20,2023-09-23,5055,13.8493
"Phylis Harsnep",2004-11-08,2018-09-03,5047,13.8274
"Adolpho Dosdale",2006-01-30,2019-11-13,5035,13.7945
"Sari Lanchbury",2002-08-06,2016-05-17,5033,13.7890
"Marcelle Peasee",2008-06-12,2022-03-21,5030,13.7808
"Carey Lidgett",2008-03-04,2021-12-08,5027,13.7726
